TENT_ID,Parent Country,Property,Name,WDPA_PID
88,Dominican Republic,Natural and Cultural,Parque Nacional Jaragua,6673
88,Dominican Republic,Natural and Cultural,Parque Nacional Jaragua,900715
88,Dominican Republic,Natural and Cultural,Parque Nacional Jaragua,555624220
89,Dominican Republic,Natural and Cultural,Santuario de Mamíferos Marinos Bancos de La Plata y Navidad,478071
90,Ecuador,Natural and Cultural,Parque Nacional Machalilla,189
94,Egypt,Natural,Ras Mohammed,9782
101,France,Natural,Bouches de Bonifacio,178271
102,France,Natural,La Camargue,6325
102,France,Natural,La Camargue,7165
102,France,Natural,La Camargue,15153
102,France,Natural,La Camargue,67923
102,France,Natural,La Camargue,555526847
102,France,Natural,La Camargue,555539548
103,France,Natural,La Réserve naturelle nationale des Terres Australes Françaises,109032
104,France,Natural and Cultural,Marais salants de Guérande,95335
104,France,Natural and Cultural,Marais salants de Guérande,555526088
104,France,Natural and Cultural,Marais salants de Guérande,555539349
107,France,Natural,Parc national de Port Cros,663
107,France,Natural,Parc national de Port Cros,365016
125,Guinea-Bissau,Natural,Réserve de Biosphère de l'Archipel des Bijagos,11611
128,Iceland,Natural and Cultural,Brei_afjör_ur Nature Reserve,102190
141,Indonesia,Natural,Bunaken National Park,30012
142,Indonesia,Natural,Derawan Islands,555511967
143,Indonesia,Natural,Raja Ampat Islands,62418
144,Indonesia,Natural,Taka Bonerate National Park,8871
145,Indonesia,Natural,Wakatobi National Park,198427
149,Iran (Islamic Republic of),Natural,Harra Protected Area,709
158,Italy,Natural,Archipelago of La Maddalena and Islands of Bocche di Bonifacio,555540584
158,Italy,Natural,Archipelago of La Maddalena and Islands of Bocche di Bonifacio,555580620
159,Italy,Natural,Island of Asinara,100839
159,Italy,Natural,Island of Asinara,182734
159,Italy,Natural,Island of Asinara,555529932
159,Italy,Natural,Island of Asinara,555540583
161,Italy,Natural,Pelagos: The Cetacean Sanctuary,365015
173,Kuwait,Natural,Boubyan Island and Mubarak Al Kabeer Marine Reserve (MAKMR),555547334
173,Kuwait,Natural,Boubyan Island and Mubarak Al Kabeer Marine Reserve (MAKMR),555626112
180,Marshall Islands,Natural,Mili Atoll Nature Conservancy (and Nadrikdrik),555583340
183,Mexico,Natural,Los Petenes Ría Celestún,902284
183,Mexico,Natural,Los Petenes Ría Celestún,902305
183,Mexico,Natural,Los Petenes Ría Celestún,902543
183,Mexico,Natural,Los Petenes Ría Celestún,555621984
184,Mexico,Natural and Cultural,Réserve de la Biosphère Banco Chinchorro CN,902304
190,Morocco,Natural,Parc national de Dakhla,313473
199,Netherlands,Natural,"Bonaire Marine
Park",230
201,New Zealand,Natural,Kermadec Islands and Marine reserve,313615
203,Nicaragua,Natural,"The Natural Reserve ""Miskitos Keys""",12667
211,Norway,Natural,Islands of Jan Mayen and Bouvet as parts of a serial transnational nomination of the Mid Atlantic Ridge system,1125
211,Norway,Natural,Islands of Jan Mayen and Bouvet as parts of a serial transnational nomination of the Mid Atlantic Ridge system,393044
211,Norway,Natural,Islands of Jan Mayen and Bouvet as parts of a serial transnational nomination of the Mid Atlantic Ridge system,555557041
211,Norway,Natural,Islands of Jan Mayen and Bouvet as parts of a serial transnational nomination of the Mid Atlantic Ridge system,555639910
212,Norway,Natural and Cultural,Svalbard Archipelago,555557191
212,Norway,Natural and Cultural,Svalbard Archipelago,555557192
213,Norway,Natural and Cultural,The Lofoten islands,183098
213,Norway,Natural and Cultural,The Lofoten islands,555639837
214,Oman,Natural,al Dimaniyyat Islands Nature Reserve,12068
215,Oman,Natural and Cultural,Ras al Had Turtle Reserve and the Heritage Site of Ras al Jinz,12043
226,Philippines,Natural,Apo Reef Natural Park,5218
228,Philippines,Natural,El NidoTaytay Managed Resource Protected Area,71275
233,Philippines,Natural,Northern Sierra Madre Natural Park and outlying areas inclusive of the buffer zone,317296
234,Philippines,Natural,Turtle Islands Wildlife Sanctuary,198475
235,Portugal,Natural,Selvagens Islands,32568
235,Portugal,Natural,Selvagens Islands,555549141
235,Portugal,Natural,Selvagens Islands,555623258
236,Qatar,Natural,Khor Al Adaid natural reserve,68945
243,Russian Federation,Natural,The Commander Islands (Comandorsky State Nature Reserve),900729
250,Saudi Arabia,Natural,Farasan Islands Protected Area,11967
255,Seychelles,Natural and Cultural,Silhouette Island,62230
255,Seychelles,Natural and Cultural,Silhouette Island,555643558
261,Solomon Islands,Natural and Cultural,Marovo - Tetepare Complex,555547628
261,Solomon Islands,Natural and Cultural,Marovo - Tetepare Complex,555547867
261,Solomon Islands,Natural and Cultural,Marovo - Tetepare Complex,555547868
278,Turkey,Natural,Kızılırmak Delta Wetland and Bird Sanctuary,166757
281,Turkmenistan,Natural,Hazar State Nature Reserve,167099
290,United States of America,Natural,Marianas Trench Marine National Monument,400010
290,United States of America,Natural,Marianas Trench Marine National Monument,555556768
292,United States of America,Natural,Pacific Remote Islands Marine National Monument,400011
300,Viet Nam,Natural,Ha Long Bay - Cat Ba Archipelago,40988
300,Viet Nam,Natural,Ha Long Bay - Cat Ba Archipelago,900889
